Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
963,2010/03/13,28,19,7,35,4,39,33,0,303928,4305,1573,104,83,10.5,0,2,128,296,5844,7315,95188,3838899,0,0,1000000,0,7679860.5,Mandlakazi,45
962,2010/03/10,5,41,21,18,20,23,7,0,248286,9577,2013,147,89,10.5,0,2,47,189,3371,5560,60925,2957237.5,0,0,1000000,0,5920290,Mooinooi,50
961,2010/03/06,20,30,16,48,27,2,22,1519176,235110,2550,1125,70,65,10.5,1,2,156,257,6694,7196,103481,4699191.5,0,0,1000000,0,9407274,Mooinooi,47
960,2010/03/03,32,43,10,23,48,15,20,0,121097,5839,2128,127,108,10.5,0,5,94,218,4733,5569,82025,3682060.5,0,0,1000000,0,7381291,Dimakatso,39
959,2010/02/27,26,31,15,38,14,4,5,2049943,317253,4036,1337,97,72,10.5,1,2,133,292,6481,8722,125626,6187355,0,0,1000000,0,12399781,Mooinooi,41
958,2010/02/24,5,32,19,20,9,11,12,0,140669,3135,1424,85,69,10.5,0,3,122,227,4961,6095,77318,2781804,0,0,1000000,0,5567694,Dimakatso,34
957,2010/02/20,23,43,49,42,36,8,31,0,321924,8711,2610,153,120,10.5,0,2,67,189,4200,5362,82437,3872403.5,0,0,1000000,0,7748455,Mandlakazi,51
956,2010/02/17,23,18,40,9,49,26,29,0,0,7953,3046,176,118,10.5,0,0,68,156,3310,4931,60535,2816015.5,0,0,1000000,0,5641480.5,Mandlakazi,32
955,2010/02/13,9,31,47,36,45,24,1,0,688911,7347,2587,170,114,10.5,0,1,85,204,4044,5997,78929,4041046.5,0,0,1000000,0,8095932,Mooinooi,32
954,2010/02/10,23,13,21,19,5,29,47,953173,98343,2228,1014,56,62,10.5,1,3,112,179,5248,4740,82217,3130290.5,0,0,1000000,0,6265477,Mooinooi,44
953,2010/02/06,26,33,16,41,29,10,28,0,355193,4472,1896,105,99,10.5,0,2,144,287,6764,7112,103135,4395731.5,0,0,1000000,0,8804970,Mooinooi,43
952,2010/02/03,49,38,28,31,6,4,39,0,620342,8150,3047,160,136,10.5,0,1,69,156,3877,4557,72436,3658674,0,0,1000000,0,7318746,Mooinooi,39
951,2010/01/30,4,33,36,1,42,10,40,0,277996,7269,3132,163,112,10.5,0,3,104,204,5089,7430,102441,4966189.5,0,0,1000000,0,9945543,Mooinooi,38
950,2010/01/27,32,4,46,31,40,26,12,0,295577,11909,2462,213,114,10.5,0,2,45,184,2775,5170,57731,3366697.5,0,0,1000000,0,6737160,Dimakatso,50
949,2010/01/23,16,7,22,26,29,46,31,1419211,109819,3954,1351,79,69,10.5,1,4,94,200,5526,6296,96174,4381168,0,0,1000000,0,8777803,Dimakatso,51
948,2010/01/20,10,18,23,45,28,3,35,0,156196,4471,1951,103,96,10.5,0,3,95,184,4549,4863,72050,2944237,0,0,1000000,0,5892381,Mandlakazi,48
947,2010/01/16,28,43,12,34,29,46,5,0,740061,8282,2353,156,109,10.5,0,1,81,241,4727,6737,89095,4385218.5,0,0,1000000,0,8787462,Dimakatso,49
946,2010/01/13,13,34,25,31,47,49,46,0,0,9807,3952,194,159,10.5,0,0,61,133,3317,4065,60423,3048117.5,0,0,1000000,0,6103321.5,Tsakani,44
945,2010/01/09,9,13,10,17,42,45,49,0,945840,7588,2183,140,102,10.5,0,1,113,332,6753,9253,130815,5790823.5,0,0,1000000,0,11586745,Tsakani,50
944,2010/01/06,18,11,6,2,13,26,46,684186,423544,2715,1153,68,66,10.5,2,1,132,226,6142,6399,107941,4384244.5,0,0,1000000,0,8782824,Dimakatso,24
943,2010/01/02,36,19,28,15,2,11,21,1600186,123823,2524,853,63,52,10.5,1,4,166,357,7743,9454,126034,5121757,0,0,1000000,0,10266649,Dimakatso,45
942,2009/12/30,26,35,28,36,42,15,8,0,243756,6696,2067,145,104,10.5,0,3,99,271,5023,7013,90947,4366959.5,0,0,1000000,0,8744167,Mooinooi,48
